company,year,revenue,ebit,net_income_to_shareholders,share_price_31_dec,shares_outstand_31_dec,market_capitalisation_31_dec,equity_to_owner_31_dec,balance_sheet_tot_31_dec,net_income_ratio,equity_ratio_31_dec,price_earning_ratio_31_dec,price_to_book_ratio_31_dec,employees_31_dec,growth_revenue,growth_ebit,growth_net_income,growth_market_capitalisation,growth_equity,SEK_EUR_31_dec,GBP_EUR_31_dec,,
vinci,2007,30874300000,3010700000,1455000000,50.15,485976788,24371735918,7535800000,49777200000,4.71%,15.14%,16.75,3.23,158628,100.00%,100.00%,100.00%,100.00%,100.00%,,,,
vinci,2008,33930300000,3275900000,1591400000,29.70,496162480,14736025656,8420500000,51792200000,4.69%,16.26%,9.26,1.75,164057,109.90%,108.81%,109.37%,60.46%,111.74%,,,,
vinci,2009,32459600000,3144800000,1596000000,39.50,520957550,20577823225,9808400000,52436100000,4.92%,18.71%,12.89,2.10,162000,105.13%,104.45%,109.69%,84.43%,130.16%,,,,
vinci,2010,33375800000,3429100000,1775900000,40.68,552620447,22480599784,12304000000,56413200000,5.32%,21.81%,12.66,1.83,179527,108.10%,113.90%,122.05%,92.24%,163.27%,,,,
vinci,2011,36955900000,3601000000,1904300000,33.76,565276672,19083740447,12889900000,60575200000,5.15%,21.28%,10.02,1.48,183320,119.70%,119.61%,130.88%,78.30%,171.05%,,,,
vinci,2012,38634000000,3667000000,1917000000,35.96,577347352,20761410778,13037000000,61545000000,4.96%,21.18%,10.83,1.59,192701,125.13%,121.80%,131.75%,85.19%,173.00%,,,,
vinci,2013,40338000000,3767000000,1962000000,47.72,601697972,28713027224,14142000000,63076000000,4.86%,22.42%,14.63,2.03,190704,130.65%,125.12%,134.85%,117.81%,187.66%,,,,
vinci,2014,38703000000,4243000000,2486000000,45.51,590098637,26855388970,14743000000,63030000000,6.42%,23.39%,10.80,1.82,185293,125.36%,140.93%,170.86%,110.19%,195.64%,,,,
vinci,2015,38518000000,3715000000,2046000000,59.14,588453075,34801114856,15119000000,62147000000,5.31%,24.33%,17.01,2.30,185452,124.76%,123.39%,140.62%,142.79%,200.63%,,,,
vinci,2016,38073000000,4118000000,2505000000,64.70,589305520,38128067144,16465000000,67931000000,6.58%,24.24%,15.22,2.32,183487,123.32%,136.78%,172.16%,156.44%,218.49%,,,,
vinci,2017,40248000000,4550000000,2747000000,85.15,591216948,50342123122,17812000000,69803000000,6.83%,25.52%,18.33,2.83,194428,130.36%,151.13%,188.80%,206.56%,236.37%,,,,
vinci,2018,43519000000,4920000000,2983000000,72.02,597515984,43033101168,19185000000,75357000000,6.85%,25.46%,14.43,2.24,211233,140.96%,163.42%,205.02%,176.57%,254.58%,,,,
vinci,2019,48053000000,5664000000,3260000000,99.00,605237689,59918531211,20438000000,91102000000,6.78%,22.43%,18.38,2.93,222397,155.64%,188.13%,224.05%,245.85%,271.21%,,,,
acs,2007,15344900000,1056700000,1551100000,40.65,352873134,14344292897,4653800000,49593400000,10.11%,9.38%,9.25,3.08,132048,100.00%,100.00%,100.00%,100.00%,100.00%,,,,
acs,2008,15275600000,1042700000,1805000000,32.65,335390427,10950497442,3402400000,51398400000,11.82%,6.62%,6.07,3.22,138117,99.55%,98.68%,116.37%,76.34%,73.11%,,,,
acs,2009,15387400000,1073900000,1946200000,34.81,314664594,10953474517,4303400000,31361200000,12.65%,13.72%,5.63,2.55,137015,100.28%,101.63%,125.47%,76.36%,92.47%,,,,
acs,2010,14328500000,1039200000,1312600000,35.08,314664594,11038433958,5519000000,34184500000,9.16%,16.14%,8.41,2.00,138542,93.38%,98.34%,84.62%,76.95%,118.59%,,,,
acs,2011,28471900000,1333300000,961900000,22.90,314664594,7205819203,5682000000,47987600000,3.38%,11.84%,7.49,1.27,162262,185.55%,126.18%,62.01%,50.23%,122.09%,,,,
acs,2012,38396200000,1579400000,-1927900000,19.04,314664594,5991213870,3382000000,41563400000,-5.02%,8.14%,-3.11,1.77,162471,250.22%,149.47%,-124.29%,41.77%,72.67%,,,,
acs,2013,38372500000,1745800000,701500000,25.02,314664594,7872908142,3803000000,39771200000,1.83%,9.56%,11.22,2.07,157689,250.07%,165.21%,45.23%,54.89%,81.72%,,,,
acs,2014,34880900000,1684200000,717100000,28.97,314664594,9115833288,3452000000,39320700000,2.06%,8.78%,12.71,2.64,210345,227.31%,159.38%,46.23%,63.55%,74.18%,,,,
acs,2015,33291300000,1420800000,725300000,27.02,314664594,8502237330,3455000000,35279800000,2.18%,9.79%,11.72,2.46,170241,216.95%,134.46%,46.76%,59.27%,74.24%,,,,
acs,2016,31975200000,1445000000,751000000,30.02,314664594,9446231112,3563420000,33400000000,2.35%,10.67%,12.58,2.65,176755,208.38%,136.75%,48.42%,65.85%,76.57%,,,,
acs,2017,34898200000,1626000000,802000000,32.62,314664594,10264359056,3958590000,31880700000,2.30%,12.42%,12.80,2.59,182269,227.43%,153.88%,51.71%,71.56%,85.06%,,,,
acs,2018,36658500000,2049900000,915600000,33.83,314664594,10645103215,4647000000,35701200000,2.50%,13.02%,11.63,2.29,195461,238.90%,193.99%,59.03%,74.21%,99.85%,,,,
acs,2019,39048900000,2125500000,962000000,35.65,314664594,11217792776,4778000000,38591700000,2.46%,12.38%,11.66,2.35,190431,254.47%,201.15%,62.02%,78.20%,102.67%,,,,
bouygues,2007,29613000000,2181000000,1376000000,48.25,347502578,16766999389,6991000000,33428000000,4.65%,20.91%,12.19,2.40,137500,100.00%,100.00%,100.00%,100.00%,100.00%,,,,
bouygues,2008,32459000000,2196000000,1501000000,30.20,342818079,10353105986,7554000000,35488000000,4.62%,21.29%,6.90,1.37,145150,109.61%,100.69%,109.08%,61.75%,108.05%,,,,
bouygues,2009,31353000000,1855000000,1319000000,36.43,354267911,12905979998,8536000000,33935000000,4.21%,25.15%,9.78,1.51,133971,105.88%,85.05%,95.86%,76.97%,122.10%,,,,
bouygues,2010,31225000000,1760000000,1071000000,32.26,365862523,11802724992,9317000000,35586000000,3.43%,26.18%,11.02,1.27,133456,105.44%,80.70%,77.83%,70.39%,133.27%,,,,
bouygues,2011,32706000000,1819000000,1070000000,24.35,314869079,7667062074,8361000000,34922000000,3.27%,23.94%,7.17,0.92,130827,110.44%,83.40%,77.76%,45.73%,119.60%,,,,
bouygues,2012,33547000000,1120000000,633000000,22.40,324232374,7262805178,8578000000,36754000000,1.89%,23.34%,11.47,0.85,133780,113.28%,51.35%,46.00%,43.32%,122.70%,,,,
bouygues,2013,33345000000,1253000000,-757000000,27.42,319364996,8756988190,7154000000,34304000000,-2.27%,20.85%,-11.57,1.22,128067,112.60%,57.45%,-55.01%,52.23%,102.33%,,,,
bouygues,2014,33138000000,1133000000,807000000,29.98,336086548,10075874709,7854000000,34868000000,2.44%,22.52%,12.49,1.28,127470,111.90%,51.95%,58.65%,60.09%,112.34%,,,,
bouygues,2015,32428000000,668000000,403000000,36.54,345135316,12611244447,7865000000,33835000000,1.24%,23.25%,31.29,1.60,120254,109.51%,30.63%,29.29%,75.21%,112.50%,,,,
bouygues,2016,31768000000,947000000,732000000,34.05,354908547,12084636025,8140000000,34854000000,2.30%,23.35%,16.51,1.48,122615,107.28%,43.42%,53.20%,72.07%,116.44%,,,,
bouygues,2017,32904000000,1533000000,1085000000,43.31,366125285,15856886093,8851000000,35778000000,3.30%,24.74%,14.61,1.79,119836,111.11%,70.29%,78.85%,94.57%,126.61%,,,,
bouygues,2018,35555000000,1829000000,1308000000,31.34,372377939,11670324608,9647000000,39187000000,3.68%,24.62%,8.92,1.21,126416,120.07%,83.86%,95.06%,69.60%,137.99%,,,,
bouygues,2019,37929000000,1696000000,1184000000,37.88,379828120,14387889186,10405000000,39354000000,3.12%,26.44%,12.15,1.38,133197,128.08%,77.76%,86.05%,85.81%,148.83%,,,,
skanska,2007,14706050652,572851542,434036240,12.93,418553072,5410985990,2173784042,8365052453,2.95%,25.99%,12.47,2.49,60435,100.00%,100.00%,100.00%,100.00%,100.00%,9.437,,,
skanska,2008,13153346150,374073057,283987915,7.10,415759910,2949866614,1745948915,7642405932,2.16%,22.85%,10.39,1.69,57815,89.44%,65.30%,65.43%,54.52%,80.32%,10.923,,,
